sep=;
"Poly(N-octanoyl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-perfluorooctanoyl-ethylene amine)";"";"439.12";"245";"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-perfluoropropionyl-ethylene amine)";"";"189.08";"216";"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-pivaloyl-ethylene amine)";"";"127.19";"320";"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-p-toluoyl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-valeryl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene azelamide-alt-ethylene oxamide)";"";"326.4";"343";"1781";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene azelate)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methyl-ethylene azelate) (diol)";"";"228.29";"-38";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(4,4'-ethylenebiphenylene)";"";"180.25";"> 550";"1187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene p-(carboxyphenoxy)-acetate]";"";"222.2";"140";"290";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene p-(carboxyphenoxy)-butyrate]";"";"250.25";"85";"290";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene p-(carboxyphenoxy)-caproate]";"";"278.3";"45";"290";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene p-(carboxyphenoxy)-heptanoate]";"";"292.33";"55";"290";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene p-(carboxyphenoxy)-undecanoate]";"";"348.44";"65";"290";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene p-(carboxyphenoxy)-valerate]";"";"264.28";"55";"290";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene p-(carboxyphenylene)-acetamide]";"";"204.23";"221";"1904";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(cis-ethylene 1,4-cyclohexylenedicarboxylate)";"";"198.22";"htmlentities('";"1912";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(trans-ethylene 1,4-cyclohexylenedicarboxylate)";"";"198.22";"120";"1912";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(trans-ethylene cyclopropylenedicarboxamide)";"";"154.17";"350";"1860";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene decamethylenediurethane)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene 2,2'-dibenzoate)";"";"268.27";"130";"1654";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polymer Handbook (4th Edition) © 1999; 2005 John Wiley & Sons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
