ID,Name,Polymer Smiles,Monomer Smiles 1,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR
P010042,Others,CCCCCCCCCCC(*)C*, CCCCCCCCCCC=C,0.0,0.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,78.75361428619225,0.0,4.822600000000004,55.78400000000005
P010042,Others,CCCCCCCCCCC(*)C*, CCCCCCCCCCC=C,0.0,0.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,78.75361428619225,0.0,4.822600000000004,55.78400000000005
P010043,Others,CCCCCCCCCCCCC(*)C*, CCCCCCCCCCCCC=C,0.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,91.48349851498548,0.0,5.6028000000000056,65.01800000000006
P010043,Others,CCCCCCCCCCCCC(*)C*, CCCCCCCCCCCCC=C,0.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,91.48349851498548,0.0,5.6028000000000056,65.01800000000006
P010044,Others,CCCCCCCCCCCCCCCCC(*)C*, CCCCCCCCCCCCCCCCC=C,0.0,0.0,16.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,116.94326697257192,0.0,7.163200000000007,83.48600000000008
P010044,Others,CCCCCCCCCCCCCCCCC(*)C*, CCCCCCCCCCCCCCCCC=C,0.0,0.0,16.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,116.94326697257192,0.0,7.163200000000007,83.48600000000008
P010048,Others,CC(C)CCCC(*)C*, CC(C)CCCC=C,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.29384582860581,0.0,3.118100000000002,37.246
P010048,Others,CC(C)CCCC(*)C*, CC(C)CCCC=C,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.29384582860581,0.0,3.118100000000002,37.246
P010049,Others,CCC(C)C(*)C*, CCC(C)C=C,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.563961599812586,0.0,2.3379000000000003,28.011999999999983
P010050,Others,CCC(CC)C(*)C*, CCC(CC)C=C,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,46.92890371420919,0.0,2.7280000000000006,32.628999999999984
P010051,Others,CCC(CC)CC(*)C*, CCC(CC)CC=C,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.29384582860581,0.0,3.118100000000002,37.246
P010052,Others,CCC(C)CC(*)C*, CCC(C)CC=C,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,46.92890371420919,0.0,2.7280000000000006,32.628999999999984
P010053,Others,CCCC(C)C(*)C*, CCCC(C)C=C,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,46.92890371420919,0.0,2.7280000000000006,32.628999999999984
P010055,Others,CC(C)(C)CC(*)C*, CC(C)(C)CC=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,46.92890371420919,0.0,2.7280000000000006,32.628999999999984
P010056,Others,CCC(C)(C)CC(*)C*, CCC(C)(C)CC=C,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.29384582860581,0.0,3.118100000000002,37.246
P010057,Others,CC(C)(C)CCCC(*)C*, CC(C)(C)CCCC=C,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.658787943002416,0.0,3.508200000000002,41.863000000000014
P010060,Others,*CC(*)CCC1CCCCC1, C=CCCC1CCCCC1,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,65.0178989038698,0.0,3.652300000000003,44.366000000000014
P010061,Others,*CC(*)CCCC1CCCCC1, C=CCCCC1CCCCC1,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,71.3828410182664,0.0,4.042400000000003,48.98300000000003
P010062,Others,CC1CCC(*)(C*)CC1, CC1CCC(=C)CC1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.288014675076575,0.0,2.872100000000001,35.13199999999999
P010065,Others,CCCC(C)(*)C*, CCCC(C)=C,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.563961599812586,0.0,2.482,28.081999999999983
P010068,Others,*CCCC=C*, C1CC=CC1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.50941645323173,0.0,1.7972,23.18099999999999
P010068,Others,*CCCC=C*, C1CC=CC1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.50941645323173,0.0,1.7972,23.18099999999999
P010070,Others,*CCC=C*, C=CC=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14447433883512,0.0,1.4071,18.564
P010070,Others,*CCC=C*, C=CC=C,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14447433883512,0.0,1.4071,18.564
