ID,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR
P512090,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.42857142857142855,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.42331149323981,0.0,2.4716000000000005,81.07000000000004
P512091,5.0,0.0,10.0,0.0,4.0,7.0,0.0,0.12,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.60104644954626,61.60000000000001,5.307700000000005,119.18340000000002
P512092,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.31511377440602,9.23,1.69822,46.399000000000015
P512093,2.0,0.0,2.0,0.0,2.0,4.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.38837780730394,18.46,0.052999999999999936,38.814000000000014
P512094,4.0,2.0,13.0,2.0,4.0,6.0,0.0,0.2857142857142857,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.5620031725655,58.92,9.422099999999999,188.42759999999953
P512095,4.0,1.0,19.0,1.0,4.0,6.0,0.0,0.375,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.07096733625593,47.92,11.675599999999985,216.3997999999993
P512096,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.42857142857142855,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.94836509153825,0.0,7.797200000000008,126.17200000000007
P512097,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.4666666666666667,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.67824932033147,0.0,8.577400000000006,135.40599999999998
P512098,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.4081335491247,0.0,9.3576,144.63999999999987
P512099,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.5294117647058824,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.13801777791792,0.0,10.137799999999995,153.87399999999974
P512100,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.5555555555555556,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.8679020067111,0.0,10.91799999999999,163.10799999999963
