wavenumber,intensity
3106.88,0.0028349740012998
3106.27,0.00277608683818496
3105.67,0.00276704719676261
3105.06,0.00256503452051347
3104.45,0.0024715199215783
3103.84,0.00241438451273531
3103.23,0.00243410217726266
3102.62,0.00247437190407385
3102.02,0.00277430937414571
3101.41,0.00274223143263475
3100.8,0.00293221392470136
3100.19,0.00292849647861216
3099.58,0.00298295543177192
3098.97,0.00292392375621643
3098.36,0.00295270325289268
3097.75,0.00299735730157628
3097.14,0.00286082666359122
3096.53,0.00277401189035257
3095.93,0.00276169910121329
3095.32,0.00274717182452359
3094.71,0.0027992520871441
3094.1,0.00284013451511385
3093.49,0.00303245045457886
3092.88,0.00308872794405052
3092.27,0.00323788596483831
3091.66,0.00329020279047885
3091.05,0.00312121226784455
3090.44,0.00310551085983093
3089.82,0.00312211184322278
3089.21,0.00334776710867787
3088.6,0.00343629889376421
3087.99,0.00349635595782336
3087.38,0.00356404587222294
3086.77,0.00347178886338567
3086.16,0.00347502223268351
3085.55,0.00338978734760297
3084.94,0.00327963310805963
3084.33,0.00331718886124304
3083.72,0.00327912140140999
3083.1,0.00341939314234379
3082.49,0.00343162252304615
3081.88,0.00354105095572679
3081.27,0.00388172604254869
3080.66,0.00393969182593994
3080.04,0.00409299147827271
3079.43,0.00436230652295084
3078.82,0.00451675618292558
3078.21,0.00462357784497727
3077.6,0.0045177122717405
3076.98,0.00457072590935127
3076.37,0.00436052889917964
3075.76,0.00432958681719809
3075.15,0.00429307201928636
3074.53,0.00418422063822787
3073.92,0.00407461374572826
3073.31,0.00417791535688757
3072.69,0.0043471307473915
3072.08,0.00449112978304341
3071.47,0.00471199592415997
3070.85,0.00516407255839692
3070.24,0.00539318738310884
3069.63,0.00555742326181874
3069.01,0.00579418037260209
3068.4,0.00594669941537942
3067.79,0.00587360751284828
3067.17,0.00562456073397083
3066.56,0.00602794476934793
3065.94,0.00643861838640091
3065.33,0.006773318620014
3064.72,0.00714079895711233
3064.1,0.00771615332905325
3063.49,0.0079891541277417
3062.87,0.00843375390586897
3062.26,0.00880729342029495
3061.64,0.00913219588011373
3061.03,0.00976646891362061
3060.41,0.0103870047071094
3059.8,0.0109983086121741
3059.18,0.0113218220161798
3058.57,0.0121623371749319
3057.95,0.0130130843700633
3057.34,0.0134218296013629
3056.72,0.0139508515081527
3056.11,0.0146287287139362
3055.49,0.0150883594614765
3054.87,0.0152817363877304
3054.26,0.0152704578673831
3053.64,0.0150817436266082
3053.03,0.0145422934767748
3052.41,0.0143329397820747
3051.79,0.0134230054766431
3051.18,0.0126734727432571
3050.56,0.0118036414341188
3049.94,0.0113379133896282
3049.33,0.0107617121813333
3048.71,0.010533121570358
3048.09,0.0104548132229977
3047.48,0.0102373340857128
3046.86,0.0100332201530446
3046.24,0.00987774112786076
3045.63,0.00951923188067363
3045.01,0.0091259183824904
3044.39,0.00872137977286626
3043.77,0.00832769541468033
3043.16,0.00799931448022025
3042.54,0.00793322207219482
3041.92,0.00773537243276402
3041.3,0.00745862322023088
3040.69,0.00731262100022717
3040.07,0.00712331326671641
3039.45,0.0070245891576314
3038.83,0.006769591629505
3038.21,0.00639591555891987
3037.59,0.00592884881775046
3036.98,0.00567282677351028
3036.36,0.00570934562513598
3035.74,0.0054584004430115
3035.12,0.00512713774739825
3034.5,0.00496745794966168
3033.88,0.00495362058067494
3033.26,0.00478772504408589
3032.64,0.00450461863368365
3032.02,0.00395412590396098
3031.4,0.00375250465085161
3030.79,0.00360837928529345
3030.17,0.00348146262706513
3029.55,0.00349098307302127
3028.93,0.00328254129145666
3028.31,0.00329199175399942
3027.69,0.00329245603723716
3027.07,0.00324250871249801
3026.45,0.00304982070443716
3025.83,0.00293024354691522
3025.21,0.00294335505796753
3024.59,0.00284474143903999
3023.96,0.00297251864814168
3023.34,0.00301932408798702
3022.72,0.00300244529373218
3022.1,0.00290014618394342
3021.48,0.00274646104675001
3020.86,0.0026086737188641
3020.24,0.00243602867575897
3019.62,0.00242782749985633
3019,0.00238882978433427
3018.38,0.00239698380828661
3017.75,0.0025186390164599
3017.13,0.00261694390322997
