0.52,47.61,-0.337
0.52,47.64,-0.337
0.52,47.68,-0.337
0.53,47.71,-0.337
0.53,47.74,-0.337
0.53,47.78,-0.337
0.53,47.81,-0.337
0.53,47.84,-0.338
0.53,47.88,-0.338
0.53,47.91,-0.338
0.54,47.94,-0.338
0.54,47.98,-0.338
0.54,48.01,-0.338
0.54,48.04,-0.338
0.54,48.07,-0.338
0.55,48.11,-0.338
0.55,48.14,-0.338
0.55,48.17,-0.338
0.55,48.21,-0.338
0.55,48.24,-0.338
0.55,48.27,-0.338
0.55,48.31,-0.338
0.56,48.34,-0.338
0.56,48.37,-0.338
0.56,48.41,-0.338
0.56,48.44,-0.339
0.56,48.47,-0.339
0.57,48.50,-0.339
0.57,48.54,-0.339
0.57,48.57,-0.339
0.57,48.60,-0.339
0.57,48.64,-0.339
0.57,48.67,-0.339
0.58,48.70,-0.339
0.58,48.74,-0.339
0.58,48.77,-0.339
0.58,48.80,-0.339
0.58,48.84,-0.339
0.58,48.87,-0.339
0.58,48.90,-0.339
0.59,48.94,-0.339
0.59,48.97,-0.339
0.59,49.00,-0.339
0.59,49.04,-0.339
0.59,49.07,-0.338
0.60,49.10,-0.338
0.60,49.13,-0.338
0.60,49.17,-0.338
0.60,49.20,-0.338
0.60,49.23,-0.338
0.60,49.27,-0.338
0.60,49.30,-0.338
0.61,49.33,-0.339
0.61,49.37,-0.339
0.61,49.40,-0.339
0.61,49.43,-0.339
0.61,49.47,-0.339
0.62,49.50,-0.339
0.62,49.53,-0.339
0.62,49.57,-0.339
0.62,49.60,-0.339
0.62,49.63,-0.339
0.62,49.67,-0.339
0.63,49.70,-0.339
0.63,49.73,-0.339
0.63,49.76,-0.339
0.63,49.80,-0.339
0.63,49.83,-0.339
0.63,49.86,-0.340
0.63,49.90,-0.340
0.64,49.93,-0.340
0.64,49.96,-0.340
0.64,50.00,-0.341
0.64,50.03,-0.341
0.64,50.06,-0.342
0.65,50.10,-0.342
0.65,50.13,-0.342
0.65,50.16,-0.343
0.65,50.20,-0.343
0.65,50.23,-0.343
0.65,50.26,-0.343
0.65,50.30,-0.343
0.66,50.33,-0.344
0.66,50.36,-0.344
0.66,50.40,-0.344
0.66,50.43,-0.344
0.66,50.46,-0.345
0.67,50.49,-0.345
0.67,50.53,-0.345
0.67,50.56,-0.345
0.67,50.59,-0.345
0.67,50.63,-0.345
0.67,50.66,-0.345
0.68,50.69,-0.345
0.68,50.73,-0.345
0.68,50.76,-0.345
0.68,50.79,-0.345
0.68,50.83,-0.345
0.68,50.86,-0.346
0.68,50.89,-0.346
0.69,50.93,-0.346
0.69,50.96,-0.346
0.69,50.99,-0.346
0.69,51.03,-0.346
0.69,51.06,-0.346
0.70,51.09,-0.346
0.70,51.13,-0.346
0.70,51.16,-0.346
0.70,51.19,-0.346
0.70,51.23,-0.346
0.70,51.26,-0.346
0.70,51.29,-0.347
0.71,51.32,-0.347
0.71,51.36,-0.347
0.71,51.39,-0.347
0.71,51.42,-0.347
0.71,51.46,-0.347
0.72,51.49,-0.347
0.72,51.52,-0.347
0.72,51.56,-0.347
0.72,51.59,-0.347
0.72,51.62,-0.347
0.72,51.66,-0.347
0.73,51.69,-0.347
0.73,51.72,-0.347
0.73,51.76,-0.347
0.73,51.79,-0.347
0.73,51.82,-0.347
0.73,51.86,-0.348
0.73,51.89,-0.348
0.74,51.92,-0.348
0.74,51.96,-0.348
0.74,51.99,-0.348
0.74,52.02,-0.348
0.74,52.06,-0.348
0.75,52.09,-0.348
0.75,52.12,-0.348
0.75,52.16,-0.348
0.75,52.19,-0.348
0.75,52.22,-0.348
0.75,52.26,-0.348
0.75,52.29,-0.348
0.76,52.32,-0.348
0.76,52.36,-0.348
0.76,52.39,-0.348
0.76,52.42,-0.348
0.76,52.45,-0.348
0.77,52.49,-0.348
