polymer,mp,mw
"Poly(3,5-dimethyl-3-phenylpropene)",252.0,146.23
"Poly(3,5-dimethyl-styrene)",290.0,132.21
"Poly(3,6,13,16-tetraoxa-8,10-octadecadiyne (4,4'-methylenediphenylene)-diurethane)",130.0,536.58
"Poly(3,6,13,16-tetraoxa-8,10-octadecadiyne hexamethylenediurethane)",138.0,454.52
Poly(3-(1-naphthoxy)-propylene oxide),235.0,200.24
Poly(3-(2-naphthoxy)-propylene oxide),297.0,200.24
"Poly(3-2,4,6-trichlorophenoxy-propylene oxide)",130.0,253.51
Poly(3-bromo-dodecamethylene pyromellitimide) (imide),238.0,461.36
Poly(3-bromo-nonamethylene pyromellitimide) (imide),287.0,419.27
Poly(3-bromo-octamethylene pyromellitimide) (imide),320.0,405.25
Poly(3-carboxyl-decamethylene glutaramide) (diacid),70.0,312.41
Poly(3-hydroxy-oxacyclobutane) [3-hydroxy-trimethylene oxide],166.0,74.08
Poly(3-m-methylphenoxy-propylene oxide),169.0,164.2
Poly(3-m-tolylpropene),180.0,132.21
Poly(3-mercaptopropionic acid),145.0,88.13
Poly(3-methyl-1-hexene),285.0,98.19
Poly(3-methyl-eicosamethylene adipate) (diacid),60.0,438.69
Poly(3-methyl-hexamethylene adipamide) (diacid),230.0,240.35
Poly(3-methyl-hexamethylene adipamide) (diamine),180.0,240.35
Poly(3-methyl-hexamethylene p-phenylenedipropionamide) (diacid),227.0,316.44
Poly(3-methyl-m-phenylene adipamide) (diamine),225.0,232.28
Poly(3-methyl-m-phenylene sebacamide) (diamine),200.0,288.39
Poly(3-methyl-piperazine adipamide) (diacid),300.0,210.28
Poly(3-methyl-piperazine cyclopropylenedicarboxamide) (diacid),280.0,194.23
Poly(3-o-isopropylphenoxy-propylene oxide),128.0,192.26
Poly(3-o-methylphenoxy-propylene oxide),191.0,164.2
Poly(3-o-phenylphenoxy-propylene oxide),293.0,226.28
Poly(3-o-tolylpropene),290.0,132.21
Poly(3-oxypropyl-hexamethylene oxamide),240.0,228.29
Poly(3-p-chlorophenoxy-propylene oxide),184.0,184.62
Poly(3-p-methoxyphenoxy-propylene oxide),200.0,180.2
Poly(3-p-methylphenoxy-propylene oxide),208.5,164.2
Poly(3-p-tolylpropene),240.0,132.21
Poly(3-vinyl pyrene),214.0,228.39
"Poly(4,4'-(ethylenediphenylene)-methylene]",255.0,194.28
"Poly(4,4'-butylidenediphenylene carbonate)",170.0,268.31
"Poly(4,4'-cyclopentylidenediphenylene carbonate)",250.0,280.32
"Poly(4,4'-decamethylenediphenylene carbonate)",130.0,352.47
"Poly(4,4'-dithiodiphenylene hexamethylenediurea)",262.0,416.56
"Poly(4,4'-ethylenedibenzoic anhydride)",340.0,252.27
"Poly(4,4'-ethylenedicyclohexylene dodecanediamide)",316.0,418.66
"Poly(4,4'-ethylenedicyclohexylene sebacamide)",333.0,390.61
"Poly(4,4'-ethylenediphenylene carbonate)",300.0,240.26
"Poly(4,4'-ethylidenediphenylene carbonate)",195.0,240.26
"Poly(4,4'-isobutylidenediphenylene carbonate)",180.0,268.31
"Poly(4,4'-isopropylidenedibenzoic anhydride)",237.5,266.3
"Poly(4,4'-isopropylidenediphenylene 1,4-piperazinedipropionate)",145.0,422.52
"Poly(4,4'-isopropylidenediphenylene 4,4'-(methylenediphenylene)-diurethane)",193.0,478.55
"Poly(4,4'-isopropylidenediphenylene dithiol-1,3-cyclohexylenedicarboxylate)",220.0,396.57
"Poly(4,4'-isopropylidenediphenylene dithioladipate)",198.0,370.53
"Poly(4,4'-isopropylidenediphenylene dithionisophthalate)",152.0,390.52
"Poly(4,4'-isopropylidenediphenylene hexamethylenediurethane)",130.0,396.49
"Poly(4,4'-isopropylidenediphenylene malonate)",96.0,296.32
"Poly(4,4'-methylenedibenzoic anhydride)",332.0,238.24
"Poly(4,4'-methylenediphenylene N,N'-diethyl-adipamide)",62.0,364.49
"Poly(4,4'-methylenediphenylene N,N'-dimethyl-adipamide)",120.0,336.44
"Poly(4,4'-methylenediphenylene N,N'-dimethyl-azelamide)",58.0,378.52
"Poly(4,4'-methylenediphenylene adipate)",140.0,310.35
"Poly(4,4'-methylenediphenylene azelamide)",277.6666666666667,350.46
"Poly(4,4'-methylenediphenylene octadecamethylenediurea)",225.0,534.79
"Poly(4,4'-methylenediphenylene octamethylenediurea)",263.0,394.52
"Poly(4,4'-methylenediphenylene sebacamide)",275.0,364.49
"Poly(4,4'-methylenediphenylene tetradecamethylenediurea)",229.0,478.68
